date,Price,,
2016-07-07,5670,,
2016-07-06,5690,,
2016-07-05,5700,,
2016-07-04,5630,,
2016-07-03,5540,,
2016-07-02,5060,,
2016-07-01,4960,,
2016-06-30,4590,,
2016-06-29,4510,,
2016-06-28,4500,,
2016-06-27,4440,,
2016-06-26,4400,,
2016-06-25,4550,,
2016-06-24,4600,,
2016-06-23,4480,,
2016-06-22,4520,,
2016-06-21,4570,,
2016-06-20,4430,,
2016-06-19,4390,,
2016-06-18,4400,,
2016-06-17,4290,,
2016-06-16,4190,,
2016-06-15,4240,,
2016-06-14,4310,,
2016-06-13,4260,,
2016-06-12,4330,,
2016-06-11,4180,,
2016-06-10,4380,,
2016-06-09,4410,,
2016-06-08,4380,,
2016-06-07,4290,,
2016-06-06,4340,,
2016-06-05,4120,,
2016-06-04,4320,,
2016-06-03,4290,,
2016-06-02,4430,,
2016-06-01,4420,,
2016-05-31,4400,,
2016-05-30,4470,,
2016-05-29,4220,,
2016-05-28,4250,,
2016-05-27,4280,,
2016-05-26,4390,,
2016-05-25,4380,,
2016-05-24,4360,,
2016-05-23,4320,,
2016-05-22,4390,,
2016-05-21,4250,,
2016-05-20,4280,,
2016-05-19,4350,,
2016-05-18,4360,,
2016-05-17,4470,,
2016-05-16,4590,,
2016-05-15,4580,,
2016-05-14,4540,,
2016-05-13,4550,,
2016-05-12,4500,,
2016-05-11,4580,,
2016-05-10,4460,,
2016-05-09,4390,,
2016-05-08,4440,,
2016-05-07,4410,,
2016-05-06,4540,,
2016-05-05,4540,,
2016-05-04,4440,,
2016-05-03,4650,,
2016-05-02,4700,,
2016-05-01,4560,,
2016-04-30,4460,,
2016-04-29,4340,,
2016-04-28,4270,,
2016-04-27,4300,,
2016-04-26,4230,,
2016-04-25,4370,,
2016-04-24,4370,,
2016-04-23,4320,,
2016-04-22,4380,,
2016-04-21,4460,,
2016-04-20,4260,,
2016-04-19,4330,,
2016-04-18,4350,,
2016-04-17,4430,,
2016-04-16,4600,,
2016-04-15,4740,,
2016-04-14,4610,,
2016-04-13,4590,,
2016-04-12,4550,,
2016-04-11,4540,,
2016-04-10,4640,,
2016-04-09,4500,,
2016-04-08,4430,,
2016-04-07,4340,,
2016-04-06,4240,,
2016-04-05,4140,,
2016-04-04,4260,,
2016-04-03,4370,,
2016-04-02,4590,,
2016-04-01,4490,,
2016-03-31,4530,,
2016-03-30,4700,,
2016-03-29,4700,,
2016-03-28,4680,,
2016-03-27,4690,,
2016-03-26,4870,,
2016-03-25,4870,,
2016-03-24,5010,,
2016-03-23,4840,,
2016-03-22,4890,,
2016-03-21,4970,,
2016-03-20,4940,,
2016-03-19,4820,,
2016-03-18,4920,,
2016-03-17,4900,,
2016-03-16,4900,,
2016-03-15,4860,,
2016-03-14,5010,,
2016-03-13,4920,,
2016-03-12,4950,,
2016-03-11,4960,,
2016-03-10,5130,,
2016-03-09,5000,,
2016-03-08,5050,,
2016-03-07,5050,,
2016-03-06,4960,,
2016-03-05,5120,,
2016-03-04,4970,,
2016-03-03,4840,,
2016-03-02,5060,,
2016-03-01,5090,,
2016-02-29,4940,,
2016-02-28,4950,,
2016-02-27,4930,,
2016-02-26,4950,,
2016-02-25,4880,,
2016-02-24,4870,,
2016-02-23,5030,,
2016-02-22,5080,,
2016-02-21,5040,,
2016-02-20,5050,,
2016-02-19,5070,,
2016-02-18,5090,,
2016-02-17,5140,,
2016-02-16,5210,,
2016-02-15,5310,,
2016-02-14,5350,,
2016-02-13,5380,,
2016-02-12,5340,,
2016-02-11,5250,,
2016-02-10,5390,,
2016-02-09,5450,,
2016-02-08,5540,,
2016-02-07,5490,,
2016-02-06,5280,,
2016-02-05,5060,,
2016-02-04,4890,,
2016-02-03,4920,,
2016-02-02,4950,,
2016-02-01,4760,,
2016-01-31,4740,,
2016-01-30,4840,,
2016-01-29,4820,,
2016-01-28,4880,,
2016-01-27,4950,,
2016-01-26,5000,,
2016-01-25,4890,,
